source_file,page,source_table_id,row_in_table,state_context,adduction_material,pipe_diameter_mm,pipe_thickness_mm,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,transformer_stations,watercourse_used,reservoir_capacity_m3
all_tables.pdf,54,tbl-141.md,11,Rio de Janeiro,,,,,,,220,,,
all_tables.pdf,54,tbl-141.md,12,Rio de Janeiro,-,-,-,27,-,5250,220,1,Rio São Lourenço,450000
all_tables.pdf,54,tbl-141.md,13,Rio de Janeiro,-,-,-,3,-,5300,220,1,Rio Fartura,-
all_tables.pdf,54,tbl-141.md,14,Rio de Janeiro,Aço,1500,6,3,-,5300,220,1,Rio do Peixe,-
all_tables.pdf,54,tbl-141.md,15,Rio de Janeiro,Ferro,2300,6,3,8,3000,220,-,Rio Tres Barras,-
all_tables.pdf,54,tbl-141.md,16,Rio de Janeiro,,,,,,,220,,,
all_tables.pdf,54,tbl-141.md,17,Rio de Janeiro,Ferro,-,-,75,89,30000,220,3,Corrego Rico,-
all_tables.pdf,54,tbl-141.md,18,Rio de Janeiro,,,,,,6000,110,,,
all_tables.pdf,54,tbl-141.md,19,Rio de Janeiro,Ferro,660,6,6,3,2000,110,-,Ribeirão da Moenda,-
all_tables.pdf,54,tbl-141.md,20,Rio de Janeiro,Ferro,600,5,9,7,3800,125,-,Corrego Itahim,-
all_tables.pdf,54,tbl-141.md,21,Rio de Janeiro,,,,,,,2000,,,
all_tables.pdf,54,tbl-141.md,22,Rio de Janeiro,-,-,-,42,22,10000,220,3,Rio Mogy-Guassú,-
all_tables.pdf,54,tbl-141.md,23,Rio de Janeiro,,,,,,,110,,,
all_tables.pdf,54,tbl-141.md,24,Rio de Janeiro,Ferro,500,5,8,4,4000,120,-,Ribeirão Itapéra,37000
all_tables.pdf,56,tbl-145.md,1,Rio de Janeiro,Aço,36584572,1195,30,2422,8800040000,2300,(2),Rio Tieté,202000000
all_tables.pdf,56,tbl-145.md,2,Rio de Janeiro,Aço,17301500,2010,63,192,8800024000,2080,(2),Rio Sorocaba,23008200
all_tables.pdf,56,tbl-145.md,3,Rio de Janeiro,Aço,750,5,80,50,16500,220110,1,Rio Esmeril,—
all_tables.pdf,56,tbl-145.md,4,Rio de Janeiro,Aço,530,10,3,3,2000,220114,—,Rio Cutiano,80000
all_tables.pdf,56,tbl-145.md,5,Rio de Janeiro,Aço,2600,8,50,5,30000,2000,1,Rio Turvo,—
all_tables.pdf,56,tbl-145.md,6,Rio de Janeiro,Aço,500400,256,100,37,30000,220110,4,Corrego Saccatrapó,400000
all_tables.pdf,56,tbl-145.md,7,Rio de Janeiro,Aço,14001300,7,6,5,4000,200,—,Rio Cachoeira,—
all_tables.pdf,56,tbl-145.md,8,Rio de Janeiro,Ferro,2500,6,—,35,4000,2300110,—,Rio Piracicaba,—
all_tables.pdf,56,tbl-145.md,9,Rio de Janeiro,Aço,500,5,12,10,5050,100,1,Ribeirão do Bebedouro,2000
all_tables.pdf,56,tbl-145.md,10,Rio de Janeiro,—,—,—,90,200,120004500,220120,2,Rio Corumbatahy,—
all_tables.pdf,56,tbl-145.md,11,Rio de Janeiro,—,—,—,—,—,—,—,—,Rio Mogy-Guassú,—
all_tables.pdf,56,tbl-145.md,12,Rio de Janeiro,Aço,1000,5,84,16,11000,220,1,Rio Tietê,25000000
all_tables.pdf,58,tbl-149.md,1,Rio de Janeiro,Alvenaria,-,-,40,22,6600,220,1,Rio Tieté,-
all_tables.pdf,58,tbl-149.md,2,Rio de Janeiro,-,-,-,24,9,2200,110,-,Rio Pardo,-
all_tables.pdf,58,tbl-149.md,3,Rio de Janeiro,Ferro,1000,10,1,6,10000,220,-,-,-
all_tables.pdf,58,tbl-149.md,4,Rio de Janeiro,Ferro,800,15,40,300,2000,110,-,Rio Claro,1000000
