source_file,page,source_table_id,row_in_table,state,company,municipality,plant,installation_year
all_tables.pdf,15,tbl-49.md,3,Paraná,Emilio B Gomes,Iraty,Iraty,1918
all_tables.pdf,15,tbl-49.md,4,Paraná,Annibal Dias de Paiva,Lapa,Paiva,1911
all_tables.pdf,15,tbl-49.md,5,Paraná,Empresa de Luz Electrica de Palmas,Palmas,—,1917
all_tables.pdf,15,tbl-49.md,6,Paraná,Municipalidade de Palmeira,Palmeira,—,1914
all_tables.pdf,15,tbl-49.md,7,Paraná,E de Melhoramentos Urbanos de Paranaguá,Paranaguá,Rio Miranda,1903
all_tables.pdf,15,tbl-49.md,8,Paraná,José Fanchin,Pitahy,—,1915
all_tables.pdf,15,tbl-49.md,9,Paraná,Martins & Carvalho,Ponta Grossa,Pitanguy,1904
all_tables.pdf,15,tbl-49.md,10,Paraná,Dursky & Companhia,Prudentopolis,—,1912
all_tables.pdf,15,tbl-49.md,11,Paraná,Heraclito de Magalhães,São José da Boa Vista,—,1918
all_tables.pdf,15,tbl-49.md,12,Paraná,José Zaniolo,São José dos Pinhaes,—,1909
all_tables.pdf,15,tbl-49.md,13,Paraná,Emilio Carlos Prohmann,São Matheus,—,1914
all_tables.pdf,15,tbl-49.md,14,Paraná,Manoel Azevedo Macedo,Teixeira Soares,—,1911
all_tables.pdf,15,tbl-49.md,15,Paraná,Alexandre Schlemm & Companhia,União da Victoria,—,1908
all_tables.pdf,15,tbl-49.md,16,Paraná,Municipalidade de Ypiranga,Ypiranga,Fiat,1920
all_tables.pdf,15,tbl-50.md,1,Pernambuco,Empresa de Luz Cabense,Cabo,—,1920
all_tables.pdf,15,tbl-50.md,2,Pernambuco,Motta Irmãos,Canhotinho,—,1919
all_tables.pdf,15,tbl-50.md,3,Pernambuco,Municipalidade de Caruaru,Caruaru,Municipal,1917
all_tables.pdf,15,tbl-50.md,4,Pernambuco,Francisco José dos Santos,Correntes,São Francisco,1918
all_tables.pdf,15,tbl-50.md,5,Pernambuco,Municipalidade de Gamelleira,Gamelleira,Gamelleira,1920
all_tables.pdf,15,tbl-50.md,6,Pernambuco,—,—,Ribeirão,1920
all_tables.pdf,15,tbl-50.md,7,Pernambuco,Empresa de Melhoramentos em Garanhuns,Garanhuns,—,1918
all_tables.pdf,15,tbl-50.md,8,Pernambuco,Municipalidade de Goyanna,Goyanna,Goyauna,1919
all_tables.pdf,15,tbl-50.md,9,Pernambuco,Municipalidade de Jaboatão,Jaboatão,Jaboatão,1915
all_tables.pdf,15,tbl-50.md,10,Pernambuco,João Carneiro da Silva,Limoeiro,—,1915
all_tables.pdf,15,tbl-50.md,11,Pernambuco,Empresa de Luz e Cinema,Nazareth,—,1920
all_tables.pdf,17,tbl-54.md,2,Pernambuco,ESTADO DE (CONCLU),,,
all_tables.pdf,17,tbl-54.md,3,Pernambuco,Companhia Santa Thereza,Olinda,—,1913
all_tables.pdf,17,tbl-54.md,4,Pernambuco,Companhia Progresso e Luz de Palmares,Palmares,—,1915
all_tables.pdf,17,tbl-54.md,5,Pernambuco,Municipalidade de Panellas,Panellas,São José,1920
all_tables.pdf,17,tbl-54.md,6,Pernambuco,"Pernambuco Tramways and Power Company, Limited",Recife,—,1914
all_tables.pdf,17,tbl-54.md,7,Pernambuco,Queiros & Andrade,Timbaúba,—,1920
all_tables.pdf,17,tbl-54.md,8,Pernambuco,ESTADO,,,
all_tables.pdf,17,tbl-54.md,9,Pernambuco,Municipalidade de Parnahyba,Parnahyba,Municipal,1918
all_tables.pdf,17,tbl-54.md,10,Pernambuco,ESTADO DO,,,
all_tables.pdf,17,tbl-54.md,11,Pernambuco,Empresa Fluminense de Força e Luz,Barra do Pirahy,Quirino,1913
all_tables.pdf,17,tbl-54.md,12,Pernambuco,Companhia Fiação e Tecidos São José,Barra Mansa,Chalet,1909
all_tables.pdf,17,tbl-54.md,13,Pernambuco,Luiz Corrêa da Rocha Sobrinho,Bom Jardim,Banquete,1917
all_tables.pdf,17,tbl-54.md,14,Pernambuco,Empresa de Electricidade de Cabo-Frio,Cabo-Frio,—,1919
