source_file,page,source_table_id,row_in_table,panel,state,municipality,posts,annual_expense
all_tables.pdf,95,tbl-220.md,31,2,Pernambuco,Cabo,41,1:100$
all_tables.pdf,95,tbl-220.md,32,1,Pará,Macapá,60,6:477$
all_tables.pdf,95,tbl-220.md,32,2,Pernambuco,Flores,22,600$
all_tables.pdf,95,tbl-220.md,33,1,Pará,Marabá,25,2:400$
all_tables.pdf,95,tbl-220.md,33,2,Pernambuco,Itambé.,53,1:500$
all_tables.pdf,95,tbl-220.md,34,1,Pará,Marapanim,40,700$
all_tables.pdf,95,tbl-220.md,34,2,Pernambuco,Ouricury,8,250$
all_tables.pdf,95,tbl-220.md,35,1,Pará,Melgaço,30,780$
all_tables.pdf,95,tbl-220.md,35,2,Pernambuco,Pedra,100,3:000$
all_tables.pdf,97,tbl-221.md,3,1,Pernambuco,Rio Formoso,18,400$
all_tables.pdf,97,tbl-221.md,3,2,Rio Grande do Norte,Santa Cruz,25,1:000$
all_tables.pdf,97,tbl-221.md,4,1,Pernambuco,Salgueiro,12,650$
all_tables.pdf,97,tbl-221.md,4,2,Rio Grande do Norte,São José de Mipibú,22,2:000$
all_tables.pdf,97,tbl-221.md,5,1,Pernambuco,Serinhaem,20,650$
all_tables.pdf,97,tbl-221.md,5,2,Rio Grande do Norte,Serra Negra,16,
all_tables.pdf,97,tbl-221.md,6,1,Pernambuco,Triumpho,38,1:000$
all_tables.pdf,97,tbl-221.md,7,1,Pernambuco,Victoria,160,6:000$
all_tables.pdf,97,tbl-221.md,7,2,Rio Grande do Sul,Bento Gonçalves,65,4:000$
all_tables.pdf,97,tbl-221.md,8,1,Pernambuco,Villa Bella,7,272$
all_tables.pdf,97,tbl-221.md,8,2,Rio Grande do Sul,Bom Jesus,35,1:000$
all_tables.pdf,97,tbl-221.md,9,1,Pernambuco,ESTADO DO PIAUBY,,
all_tables.pdf,97,tbl-221.md,9,2,Rio Grande do Sul,Cangussú,25,1:000$
all_tables.pdf,97,tbl-221.md,10,1,Pernambuco,Amarante,44,1:056$
all_tables.pdf,97,tbl-221.md,10,2,Rio Grande do Sul,Guaporé,21,1:460$
all_tables.pdf,97,tbl-221.md,11,1,Pernambuco,Barras do Maratahoan,55,1:200$
all_tables.pdf,97,tbl-221.md,11,2,Rio Grande do Sul,Herval,70,3:436$
all_tables.pdf,97,tbl-221.md,12,1,Pernambuco,Burity dos Lopes,25,1:135$
all_tables.pdf,97,tbl-221.md,12,2,Rio Grande do Sul,Palmeira,40,2:000$
all_tables.pdf,97,tbl-221.md,13,1,Pernambuco,Floriano,100,2:468$
all_tables.pdf,97,tbl-221.md,13,2,Rio Grande do Sul,Quarahy,34,4:273$
all_tables.pdf,97,tbl-221.md,14,1,Pernambuco,Miguel Alves,12,901$
all_tables.pdf,97,tbl-221.md,14,2,Rio Grande do Sul,Santo Antonio da Patrulha,35,1:500$
all_tables.pdf,97,tbl-221.md,15,1,Pernambuco,Pedro Segundo,30,500$
all_tables.pdf,97,tbl-221.md,15,2,Rio Grande do Sul,São Francisco de Paula de Lima da Serra,32,1:200$
all_tables.pdf,97,tbl-221.md,16,1,Pernambuco,Peripery,36,700$
all_tables.pdf,97,tbl-221.md,16,2,Rio Grande do Sul,São José do Norte,24,2:270$
all_tables.pdf,97,tbl-221.md,17,1,Pernambuco,Piracuruca,50,1:500$
all_tables.pdf,97,tbl-221.md,17,2,Rio Grande do Sul,Soledade,36,2:461$
all_tables.pdf,97,tbl-221.md,18,1,Pernambuco,Porto Alegre,30,800$
all_tables.pdf,97,tbl-221.md,18,2,Rio Grande do Sul,Taquara do Mundo Novo,52,2:886$
all_tables.pdf,97,tbl-221.md,19,1,Pernambuco,São Raymundo Nonato,50,1:230$
all_tables.pdf,97,tbl-221.md,19,2,Rio Grande do Sul,Torres,21,699$
all_tables.pdf,97,tbl-221.md,20,1,Pernambuco,União,42,1:500$
all_tables.pdf,97,tbl-221.md,20,2,Rio Grande do Sul,Viamão,24,1:500$
all_tables.pdf,97,tbl-221.md,22,1,Rio de Janeiro,Angra dos Reis,50,6:000$
all_tables.pdf,97,tbl-221.md,22,2,Santa Catharina,Camboriú,20,500$
all_tables.pdf,97,tbl-221.md,23,1,Rio de Janeiro,Itaborahy,12,800$
all_tables.pdf,97,tbl-221.md,23,2,Santa Catharina,Palhoça,30,1:217$
all_tables.pdf,97,tbl-221.md,24,1,Rio de Janeiro,Maricá,40,1:000$
all_tables.pdf,97,tbl-221.md,24,2,Santa Catharina,Paraty,(1),1:000$
all_tables.pdf,97,tbl-221.md,25,1,Rio de Janeiro,São João da Barra,84,7:128$
all_tables.pdf,97,tbl-221.md,26,1,Rio de Janeiro,São João Marcos,28,600$
all_tables.pdf,97,tbl-221.md,26,2,São Paulo,Anhemby,(1),1:090$
all_tables.pdf,97,tbl-221.md,27,1,Rio de Janeiro,São Pedro d'Aldeia,20,1:300$
all_tables.pdf,97,tbl-221.md,27,2,São Paulo,Apiahy,40,2:000$
all_tables.pdf,97,tbl-221.md,28,2,São Paulo,Araçariguama,20,800$
all_tables.pdf,97,tbl-221.md,29,1,Rio Grande do Norte,Angicos,10,326$
all_tables.pdf,97,tbl-221.md,29,2,São Paulo,Canaçá,38,3:200$
all_tables.pdf,97,tbl-221.md,30,1,Rio Grande do Norte,Apody,25,540$
all_tables.pdf,97,tbl-221.md,30,2,São Paulo,Caraguatatuba,20,1:300$
all_tables.pdf,97,tbl-221.md,31,1,Rio Grande do Norte,Assú,20,1:364$
all_tables.pdf,97,tbl-221.md,31,2,São Paulo,Igaratá,24,1:800$
all_tables.pdf,97,tbl-221.md,32,1,Rio Grande do Norte,Caicó,(1),800$
all_tables.pdf,97,tbl-221.md,32,2,São Paulo,Pilar,33,1:200$
all_tables.pdf,97,tbl-221.md,33,1,Rio Grande do Norte,Macahyba,50,2:178$
all_tables.pdf,97,tbl-221.md,33,2,São Paulo,Pinheiros,30,800$
all_tables.pdf,97,tbl-221.md,34,1,Rio Grande do Norte,Macau,36,
all_tables.pdf,97,tbl-221.md,34,2,São Paulo,Redempção,30,2:000$
all_tables.pdf,97,tbl-221.md,35,2,São Paulo,Rio Bonito,28,500$
all_tables.pdf,97,tbl-221.md,36,2,São Paulo,Santa Cruz da Conceição,26,1:040$
all_tables.pdf,97,tbl-221.md,37,2,São Paulo,São Sebastião,55,2:460$
